Team,TotalHomeWin,TotalHomeLoss,TotalHomeTie,HomeScoredGoals,HomeAgainstGoals,TotalAwayWin,TotalAwayLoss,TotalAwayTie,AwayAgainstGoals,AwayScoredGoals,GoalsScored,GoalsAgainst,Win,Loss,Tie,TotalGames,GoalDifferentials,WinPercentage,GoalsPerGame,GoalsAgainstPerGame,TeamPosition,Season
Dortmund,12,2,3,31,12,9,4,4,21,31,62,33,21,6,7,34,29,0.618,1.824,0.971,3,2001
Hertha,13,2,2,40,13,5,7,5,25,21,61,38,18,9,7,34,23,0.529,1.794,1.118,4,2001
Schalke 04,13,2,2,38,14,5,7,5,22,14,52,36,18,9,7,34,16,0.529,1.529,1.059,5,2001
Werder Bremen,11,4,2,29,21,6,8,3,22,25,54,43,17,12,5,34,11,0.5,1.588,1.265,6,2001
Kaiserslautern,11,2,4,39,21,6,10,1,32,23,62,53,17,12,5,34,9,0.5,1.824,1.559,7,2001
Wolfsburg,9,5,3,34,18,4,9,4,31,23,57,49,13,14,7,34,8,0.382,1.676,1.441,8,2001
Stuttgart,8,4,5,25,16,5,6,6,27,22,47,43,13,10,11,34,4,0.382,1.382,1.265,9,2001
Munich 1860,8,6,3,31,33,7,8,2,26,28,59,59,15,14,5,34,0,0.441,1.735,1.735,10,2001
Hamburg,7,4,6,35,25,3,10,4,32,16,51,57,10,14,10,34,-6,0.294,1.5,1.676,11,2001
M'gladbach,6,6,5,21,21,3,7,7,32,20,41,53,9,13,12,34,-12,0.265,1.206,1.559,12,2001
Hansa Rostock,6,5,6,20,18,3,13,1,36,15,35,54,9,18,7,34,-19,0.265,1.029,1.588,13,2001
Nurnberg,7,7,3,21,23,3,13,1,34,13,34,57,10,20,4,34,-23,0.294,1.0,1.676,14,2001
Cottbus,8,5,4,27,21,1,12,4,39,9,36,60,9,17,8,34,-24,0.265,1.059,1.765,15,2001
Freiburg,6,6,5,25,26,1,12,4,38,12,37,64,7,18,9,34,-27,0.206,1.088,1.882,16,2001
St Pauli,4,9,4,19,28,0,11,6,42,18,37,70,4,20,10,34,-33,0.118,1.088,2.059,17,2001
FC Koln,5,7,5,16,21,2,12,3,40,10,26,61,7,19,8,34,-35,0.206,0.765,1.794,18,2001
Bayern Munich,13,1,3,37,12,10,4,3,13,33,70,25,23,5,6,34,45,0.676,2.059,0.735,1,2002
Dortmund,10,1,6,31,13,5,5,7,14,20,51,27,15,6,13,34,24,0.441,1.5,0.794,2,2002
Stuttgart,9,3,5,30,14,8,6,3,25,23,53,39,17,9,8,34,14,0.5,1.559,1.147,3,2002
Hamburg,13,1,3,30,11,2,7,8,25,16,46,36,15,8,11,34,10,0.441,1.353,1.059,4,2002
Hertha,10,3,4,35,19,6,9,2,24,17,52,43,16,12,6,34,9,0.471,1.529,1.265,5,2002
Schalke 04,6,3,8,23,16,6,6,5,24,23,46,40,12,9,13,34,6,0.353,1.353,1.176,6,2002
Werder Bremen,10,5,2,34,23,6,9,2,27,17,51,50,16,14,4,34,1,0.471,1.5,1.471,7,2002
Bochum,6,6,5,26,25,6,7,4,31,29,55,56,12,13,9,34,-1,0.353,1.618,1.647,8,2002
M'gladbach,10,2,5,31,11,1,12,4,34,12,43,45,11,14,9,34,-2,0.324,1.265,1.324,9,2002
Kaiserslautern,9,5,3,23,12,1,9,7,30,17,40,42,10,14,10,34,-2,0.294,1.176,1.235,10,2002
Wolfsburg,11,4,2,26,15,2,10,5,27,13,39,42,13,14,7,34,-3,0.382,1.147,1.235,11,2002
Hansa Rostock,6,6,5,20,18,5,9,3,23,15,35,41,11,15,8,34,-6,0.324,1.029,1.206,12,2002
Munich 1860,6,6,5,22,22,6,7,4,30,22,44,52,12,13,9,34,-8,0.353,1.294,1.529,13,2002
Leverkusen,6,8,3,27,28,5,8,4,28,20,47,56,11,16,7,34,-9,0.324,1.382,1.647,14,2002
Hannover,4,7,6,28,33,8,8,1,24,19,47,57,12,15,7,34,-10,0.353,1.382,1.676,15,2002
Bielefeld,7,5,5,23,16,1,9,7,30,12,35,46,8,14,12,34,-11,0.235,1.029,1.353,16,2002
Nurnberg,4,9,4,16,24,4,11,2,36,17,33,60,8,20,6,34,-27,0.235,0.971,1.765,17,2002
Cottbus,4,10,3,17,30,3,8,6,34,17,34,64,7,18,9,34,-30,0.206,1.0,1.882,18,2002
Werder Bremen,11,2,4,42,21,11,2,4,17,37,79,38,22,4,8,34,41,0.647,2.324,1.118,1,2003
Leverkusen,12,4,1,43,18,7,3,7,21,30,73,39,19,7,8,34,34,0.559,2.147,1.147,2,2003
Bayern Munich,13,1,3,43,19,7,5,5,20,27,70,39,20,6,8,34,31,0.588,2.059,1.147,3,2003
Stuttgart,9,1,7,29,13,9,5,3,11,23,52,24,18,6,10,34,28,0.529,1.529,0.706,4,2003
Bochum,11,1,5,30,6,4,7,6,33,27,57,39,15,8,11,34,18,0.441,1.676,1.147,5,2003
Dortmund,12,2,3,39,16,4,9,4,32,20,59,48,16,11,7,34,11,0.471,1.735,1.412,6,2003
